"block","point","comp","b_closed","intercept","intercept_se","intercept_invL","intercept_invL_se","richardson","richardson_se","bhat800","bhat800_se","gate_intercept","gate_invL","gate_richardson","gate_b800"
"SCA","A_z0",1,-0.749701557546067,-0.604870107675596,0.165873302760112,-0.718229038778721,0.0987205056498834,-0.856068316604723,0.113246494632183,-0.77491561987536,0.0505162795253288,TRUE,TRUE,TRUE,TRUE
"SCA","A_z0",2,-0.320387278092379,-0.277207555282124,0.0736117366531769,-0.313443637073819,0.043459358456947,-0.390369502661687,0.107168889352005,-0.339146683816204,0.0474338066591748,TRUE,TRUE,TRUE,TRUE
"SCA","A_z0",3,0.128652794512564,-0.0874672346168905,0.0617209332146695,0.0363736421882665,0.0179894838336945,0.0788685507384206,0.111111832946053,0.0961488957518323,0.0491920647608658,FALSE,FALSE,TRUE,TRUE
"SCA","A_z0",4,-0.330563254012211,-0.208147657191974,0.164018913829826,-0.282722222604145,0.0863357734831961,-0.324362527275777,0.103184959740108,-0.348074680192716,0.045856128877842,TRUE,TRUE,TRUE,TRUE
"SCA","A_u1_n0.5",1,-3.28481090689604,-2.84817791915851,0.129075677839863,-3.24400772650583,0.0580158573992197,-3.10874744156344,0.136650653008581,-3.34826139497759,0.0594052097338509,FALSE,TRUE,TRUE,TRUE
"SCA","A_u1_n0.5",2,-0.489529519528353,-0.38380937255364,0.0475702816077844,-0.493701342693635,0.0277088814859653,-0.420712495401611,0.117141061829136,-0.510959856771757,0.0514419713353973,TRUE,TRUE,TRUE,TRUE
"SCA","A_u1_n0.5",3,-1.21675771501944,-1.05724675158408,0.0893395965359059,-1.22875979236684,0.0726495985100061,-1.06787845021022,0.093693556284531,-1.21518210001159,0.0413254979931745,TRUE,TRUE,TRUE,TRUE
"SCA","A_u1_n0.5",4,1.69738015554319,1.2748827622297,0.0595551859576186,1.57792866315866,0.00745268963609326,1.57210849768021,0.14618858177951,1.67687897262317,0.0642742941020474,FALSE,FALSE,TRUE,TRUE
"SCA","A_u2_n0.5",1,-1.87504031287747,-1.57858404351974,0.0888200468760593,-1.77103958869884,0.0533916515225099,-1.62465202668679,0.121787360276858,-1.79387186721996,0.0539130648493013,FALSE,TRUE,TRUE,TRUE
"SCA","A_u2_n0.5",2,-2.05904873882344,-1.87256971622496,0.0850541449406417,-2.0058900024927,0.0367316848001569,-1.9847441735804,0.0839460127321532,-2.05456806779123,0.0372085643620446,TRUE,TRUE,TRUE,TRUE
"SCA","A_u2_n0.5",3,2.02865244918599,1.65725163207749,0.0701782424200132,1.98891388635184,0.0259342384868646,2.01305563335128,0.144726647440841,2.10109437502783,0.0634699407993318,FALSE,TRUE,TRUE,TRUE
