"setting","M","lambda","bias","coverage95","top_word_eig","cov_block_eig"
"lambda1",500,1,0.513151186118967,0.195833333333333,0.000500693291900151,0.002
"lambda1",1000,1,0.477386820073389,0.110416666666667,0.000507309081459888,0.001
"lambda1",2000,1,0.422908939196149,0.0979166666666667,0.000488580542890498,5e-04
"lambda1",4000,1,0.312539653637752,0.11875,0.000479677656369653,0.00025
"lambdaA",500,0.14282543649173,0.341667540859949,0.366666666666667,0.000500693291900151,0.00028565087298346
"lambdaA",1000,0.276328395311322,0.328467380546806,0.295833333333333,0.000507309081459888,0.000276328395311322
"lambdaA",2000,0.553354444308942,0.330966943761872,0.1875,0.000488580542890498,0.000276677222154471
"lambdaA",4000,1.11047952587395,0.330531983774679,0.1,0.000479677656369653,0.000277619881468488
