"K","M","mean_disagree","best_gain","n_distinct","lambda_min_H_ratio","snr_bulk_min","snr_bulk_max"
3,1000,0.537037037037037,3.63942927317333e-06,3.5,1.99543553576735,1.22434469015926,48.560448511626
3,4000,0.523148148148148,6.65332637896608e-07,2,2.00154681846612,1.57593970519636,52.3501206288534
5,1000,0.513888888888889,5.12596115182318e-06,13,2.02442839732979,0.471110156482657,14.6922250761136
5,4000,0.520833333333333,2.10708102568134e-06,13,2.00232766136047,0.895773747828224,32.4277334057942
