"M","Signal","MSE_Spectral","MSE_STM","Time_Spectral","Time_STM","Speedup"
1000,"weak",0.104328251158269,0.00167820662281338,0.427499999999933,3.44666666666673,8.06237816764274
1000,"strong",0.0709201134362036,0.00472732539992267,0.415833333333372,4.74416666666663,11.4088176352694
5000,"weak",0.0924531980191348,0.00157639078672785,0.208333333333352,19.225,92.2799999999916
5000,"strong",0.0456084435813534,0.00578348187613888,0.221666666666692,24.9516666666666,112.563909774423
