"M","n_ok","RMSE","coverage95","mean_analytic_se","mean_empirical_sd","se_analytic_over_empirical","se_analytic_over_jack","null_baseline_RMSE","ratio_to_null","time_s"
500,40,0.0178088131484744,0.94375,0.0174983941952972,0.0169068701901386,1.03498719742366,0.97541081963894,0.38056487724409,0.0467957350069699,0.19625
1000,40,0.0130453038208974,0.9390625,0.0123403675494622,0.0121930934295671,1.01207848695212,0.984118073514431,0.38056487724409,0.0342787908210729,0.42625
2000,40,0.0097691284764186,0.9203125,0.00875672971474622,0.00916358363147274,0.955601003593272,1.00954335552822,0.38056487724409,0.0256700737786498,0.0610000000000042
4000,40,0.00785678112039273,0.8734375,0.00616535233396602,0.00719927061180892,0.856385690496621,0.976872225387268,0.38056487724409,0.0206450505293306,0.15675
