"M","scenario","method","MSE_Bz","MSE_Phi","Time","Iter","n"
500,"high_sep","sgscatm",0.0585519269603254,0.0217044371233366,0.145833333333258,NA,12
500,"high_sep","sgscatm_ref",0.0585519269603254,0.000225795892895173,0.154166666666621,NA,12
500,"high_sep","stm",0.00315243717273924,3.53582980885706e-05,1.87583333333335,33.0833333333333,12
500,"high_sep","stm_warm",0.00536387305395108,2.76895420422493e-05,2.07999999999996,32.25,12
500,"low_sep","sgscatm",0.0626309842179611,0.00036763902535784,0.192500000000033,NA,12
500,"low_sep","sgscatm_ref",0.0626309842179611,2.86323357465073e-06,0.200000000000045,NA,12
500,"low_sep","stm",0.0223126248523645,3.4268672667108e-06,1.83833333333333,24.1666666666667,12
500,"low_sep","stm_warm",0.0508205086843158,6.77044845390307e-06,1.2808333333334,10.9166666666667,12
500,"weak_sig","sgscatm",0.142383763015516,0.000345997308510126,0.193333333333385,NA,12
500,"weak_sig","sgscatm_ref",0.142383763015516,3.0322525292546e-05,0.198333333333456,NA,12
500,"weak_sig","stm",0.00236099414389734,1.6523423830133e-05,1.26499999999991,17.6666666666667,12
500,"weak_sig","stm_warm",0.0825031996842381,2.38549090110837e-05,1.66583333333339,18.4166666666667,12
2000,"high_sep","sgscatm",0.0133126604625957,0.114070379495603,0.0649999999999409,NA,12
2000,"high_sep","sgscatm_ref",0.0133126604625957,0.000184642217004833,0.0891666666666803,NA,12
2000,"high_sep","stm",0.00161753096406455,2.68115244179163e-05,7.71,33.75,12
2000,"high_sep","stm_warm",0.00202074277023003,1.47694017622554e-05,7.06749999999996,29.25,12
2000,"low_sep","sgscatm",0.0700952034619908,0.00086825070689909,0.0683333333333091,NA,12
2000,"low_sep","sgscatm_ref",0.0700952034619908,2.79716671615484e-06,0.104166666666742,NA,12
2000,"low_sep","stm",0.0870437205645824,3.05793837207205e-06,0.972500000000044,3.25,12
2000,"low_sep","stm_warm",0.0392411678219116,5.58467081743189e-06,3.68916666666659,9.08333333333333,12
2000,"weak_sig","sgscatm",0.133711985962111,0.00118909679657553,0.0674999999999955,NA,12
2000,"weak_sig","sgscatm_ref",0.133711985962111,2.95371353948956e-05,0.0966666666666545,NA,12
2000,"weak_sig","stm",0.00141030471008393,1.0990318844086e-05,6.69749999999995,23.5833333333333,12
2000,"weak_sig","stm_warm",0.0315933104991218,1.51944984663946e-05,5.50916666666672,17.9166666666667,12
