"M","block","published_rmse","reproduced_rmse","zero_level","norm_ratio","coverage_published_SE","coverage_scaled_SE","med_ci_halfwidth","med_center_offset","rmse","pilot_rmse","coverage_entrywise","coverage_rownorm","n"
500,"A2_published_pipeline",0.23865364698902,0.238686750990582,0.259807621135332,0.0861857180716341,1,1,47.8004517751912,0.214216001298071,NA,NA,NA,NA,NA
1000,"A2_published_pipeline",0.244957628105824,0.24489349542035,0.259807621135332,0.0607549394812923,1,0.9875,26.0107075662275,0.217136214471501,NA,NA,NA,NA,NA
2000,"A2_published_pipeline",0.249534898650512,0.249553193180709,0.259807621135332,0.0417953527836747,1,0.65,11.7420340758458,0.219626490964427,NA,NA,NA,NA,NA
500,"A3_two_step",NA,NA,NA,1.10303321829534,NA,NA,NA,NA,0.0358293857169941,0.238635168039163,0.866666666666667,0.7,50
1000,"A3_two_step",NA,NA,NA,1.09343841185564,NA,NA,NA,NA,0.0304903133735053,0.244956515043365,0.765,0.426666666666667,50
2000,"A3_two_step",NA,NA,NA,1.06989441631092,NA,NA,NA,NA,0.023438949960706,0.249503008667547,0.711666666666667,0.373333333333333,50
