"lambda_label","lambda","cov_block_eig","word_eig","d_abs","d_entry","d_entry_over_floor","d_entry_over_SE4000"
"0",0,0,0.000277745243428896,1.34849939842637,0.337124849606592,4.85960709565049,54.6805488713616
"0.01A",5.2810909225756,2.6405454612878e-06,0.000277745243428896,1.34802909656503,0.337007274141257,4.85791226192261,54.6614785151246
"0.1A",52.8109092257559,2.6405454612878e-05,0.000277745243428896,1.34328972571886,0.335822431429715,4.84083292156856,54.4693008994165
"1",1,5e-07,0.000277745243428896,1.34841111774537,0.337102779436343,4.85928895726327,54.6769691618732
"A",528.109092257559,0.00026405454612878,0.000277745243428896,4.6234504080616e-15,1.1558626020154e-15,1.66615961680246e-14,1.8747713665082e-13
"3A",1584.32727677268,0.000792163638386339,0.000277745243428896,1.08373037953474,0.270932594883686,3.90545509201174,43.9443814737189
"10A",5281.09092257559,0.0026405454612878,0.000277745243428896,1.08414315284159,0.271035788210397,3.90694260924251,43.9611190940723
"floor_entry(1)",1,5e-07,0.000277745243428896,NA,0.00571409969731641,NA,NA
"floor_entry(lambda_A)",528.109092257559,0.00026405454612878,0.000277745243428896,NA,0.133031623144487,NA,NA
