"b_max","r_true","max_z","r_fit","coverage","se_sd_ratio","rmse_recover"
0.5,7136.47055215277,3.75540831401449,5.59824757365338,0.95375,1.02239171503807,0.00472537275804658
1,25358.681121892,7.09144289852328,5.89333945812484,0.95375,1.00698844129702,0.0673491033389117
1.5,64727.1423410893,11.3326410348891,6.48436392849289,0.9275,0.93402443938182,0.167248727760783
2,111428.813135249,14.8702477502288,6.43027578589199,0.96,1.04904556873033,0.180047966474615
3,318104.822521486,25.1213715136264,5.56516844432044,0.95125,0.971228003180852,0.411037526345434
4,376514.170782245,27.3556566971187,9.21572753623655,0.9625,1.03518477594445,0.629186286691937
5,643539.241637994,35.6561962008443,3.90268694190558,0.95125,1.00540356890205,0.787071478957302
